time,gFx,gFy,gFz,TgF
0.001630384,0.8908,0.0043,0.3013,0.940
0.002478384,0.8928,0.0023,0.3078,0.944
0.003051384,0.8906,0.0006,0.3104,0.943
0.003574769,0.8901,0.0011,0.3116,0.943
0.004041461,0.8871,0.0009,0.3114,0.940
0.007617461,0.8808,0.0016,0.3141,0.935
0.008143923,0.8773,0.0021,0.3165,0.933
0.010088846,0.8710,0.0026,0.3180,0.927
0.018046769,0.8671,0.0060,0.3170,0.923
0.018813461,0.8630,0.0058,0.3183,0.920
0.019244538,0.8586,0.0062,0.3192,0.916
0.030023308,0.8547,0.0046,0.3214,0.913
0.031130384,0.8537,0.0031,0.3199,0.912
0.031671384,0.8502,-0.0026,0.3178,0.908
0.032320615,0.8473,-0.0068,0.3195,0.906
0.032857231,0.8437,-0.0093,0.3204,0.903
0.033311308,0.8439,-0.0147,0.3202,0.903
0.041075077,0.8454,-0.0186,0.3185,0.904
0.041939,0.8483,-0.0217,0.3185,0.906
0.047804231,0.8505,-0.0232,0.3180,0.908
0.048411077,0.8532,-0.0254,0.3195,0.911
0.048765154,0.8549,-0.0276,0.3192,0.913
0.049020538,0.8568,-0.0315,0.3209,0.916
0.052514154,0.8573,-0.0366,0.3192,0.916
0.053238384,0.8583,-0.0398,0.3160,0.915
0.063995308,0.8625,-0.0420,0.3131,0.918
0.065131692,0.8642,-0.0433,0.3082,0.919
0.065664308,0.8666,-0.0459,0.3041,0.920
0.066175308,0.8642,-0.0503,0.2999,0.916
0.066551,0.8676,-0.0522,0.2953,0.918
0.078768923,0.8644,-0.0533,0.2920,0.914
0.079439692,0.8559,-0.0557,0.2869,0.904
0.079805846,0.8542,-0.0594,0.2840,0.902
0.080373846,0.8568,-0.0640,0.2840,0.905
0.080817231,0.8615,-0.0664,0.2882,0.911
0.081173154,0.8659,-0.0687,0.2894,0.916
0.085987615,0.8696,-0.0684,0.2916,0.920
0.086793538,0.8688,-0.0691,0.2869,0.918
0.089363384,0.8656,-0.0659,0.2843,0.913
0.091527384,0.8652,-0.0631,0.2818,0.912
0.094176846,0.8679,-0.0631,0.2757,0.913
0.095992538,0.8681,-0.0628,0.2784,0.914
0.098099692,0.8684,-0.0606,0.2803,0.914
0.100914692,0.8754,-0.0613,0.2828,0.922
0.103149846,0.8791,-0.0603,0.2791,0.924
0.105736,0.8754,-0.0667,0.2808,0.922
0.108216923,0.8723,-0.0715,0.2840,0.920
0.111426461,0.8740,-0.0736,0.2880,0.923
0.113534077,0.8764,-0.0738,0.2843,0.924
0.115440538,0.8864,-0.0745,0.2777,0.932
0.118786461,0.8954,-0.0748,0.2731,0.939
0.121586769,0.9064,-0.0743,0.2731,0.950
0.123108231,0.9071,-0.0769,0.2787,0.952
0.128056923,0.9087,-0.0773,0.2836,0.955
0.128998461,0.9108,-0.0767,0.2857,0.958
0.130539615,0.9150,-0.0757,0.2857,0.962
0.133110384,0.9187,-0.0757,0.2838,0.964
0.135579,0.9216,-0.0769,0.2871,0.968
0.138142077,0.9255,-0.0774,0.2933,0.974
0.142660615,0.9264,-0.0767,0.2953,0.975
0.144788231,0.9267,-0.0757,0.2977,0.976
0.146492923,0.9299,-0.0736,0.2943,0.978
0.148259615,0.9343,-0.0711,0.2943,0.982
0.151411615,0.9382,-0.0701,0.2936,0.986
0.153698154,0.9409,-0.0689,0.2894,0.987
0.156010384,0.9431,-0.0680,0.2884,0.988
